x-axis E-06, 1 E-03
second,Volt
-7.210000,
-7.205000,
-7.200000,-137.971103890
-7.195000,-178.674621042
-7.190000,-162.594219204
-7.185000,-194.755022880
-7.180000,-202.795223799
-7.175000,-202.795223799
-7.170000,-186.714821961
-7.165000,-186.714821961
-7.160000,-194.755022880
-7.155000,-178.674621042
-7.150000,+102.229898563
-7.145000,+167.054018471
-7.140000,+159.013817552
-7.135000,+167.054018471
-7.130000,+182.631907752
-7.125000,+175.094219390
-7.120000,+159.013817552
-7.115000,+159.013817552
-7.110000,+159.013817552
-7.105000,+158.511304995
-7.100000,-113.850501133
-7.095000,-154.554018285
-7.090000,-138.473616447
-7.085000,-162.594219204
-7.080000,-178.172108484
-7.075000,-178.674621042
-7.070000,-162.594219204
-7.065000,-162.594219204
-7.060000,-162.594219204
-7.055000,-154.554018285
-7.050000,+94.189697644
-7.045000,+134.893214796
-7.040000,+134.893214796
-7.035000,+134.893214796
-7.030000,+150.973616634
-7.025000,+150.973616634
-7.020000,+134.390702238
-7.015000,+126.853013877
-7.010000,+134.893214796
-7.005000,+134.390702238
-7.000000,-97.770099295
-6.995000,-129.930902971
-6.990000,-114.353013691
-6.985000,-129.930902971
-6.980000,-138.473616447
-6.975000,-146.513817366
-6.970000,-130.433415528
-6.965000,-130.433415528
-6.960000,-137.971103890
-6.955000,-122.393214609
-6.950000,+78.109295806
-6.945000,+102.732411120
-6.940000,+102.229898563
-6.935000,+110.270099482
-6.930000,+118.310300400
-6.925000,+110.772612039
-6.920000,+102.732411120
-6.915000,+94.692210201
-6.910000,+94.692210201
-6.905000,+94.189697644
-6.900000,-73.649496539
-6.895000,-90.232410934
-6.890000,-82.192210015
-6.885000,-98.272611853
-6.880000,-106.312812772
-6.875000,-113.850501133
-6.870000,-98.272611853
-6.865000,-98.272611853
-6.860000,-105.810300214
-6.855000,-90.232410934
-6.850000,+53.988693049
-6.845000,+78.611808363
-6.840000,+62.531406526
-6.835000,+78.109295806
-6.830000,+70.571607444
-6.825000,+78.109295806
-6.820000,+70.069094887
-6.815000,+70.571607444
-6.810000,+70.069094887
-6.805000,+62.531406526
-6.800000,-49.528893782
-6.795000,-65.609295620
-6.790000,-58.071607258
-6.785000,-66.111808177
-6.780000,-74.152009096
-6.775000,-74.152009096
-6.770000,-66.111808177
-6.765000,-65.609295620
-6.760000,-66.111808177
-6.755000,-66.111808177
-6.750000,+29.868090292
-6.745000,+37.908291211
-6.740000,+37.908291211
-6.735000,+38.410803769
-6.730000,+45.948492130
-6.725000,+38.410803769
-6.720000,+30.370602850
-6.715000,+30.370602850
-6.710000,+30.370602850
-6.705000,+22.330401931
-6.700000,-25.910803583
-6.695000,-33.951004501
-6.690000,-33.951004501
-6.685000,-33.951004501
-6.680000,-41.488692863
-6.675000,-41.991205420
-6.670000,-41.488692863
-6.665000,-25.910803583
-6.660000,-25.910803583
-6.655000,-33.951004501
-6.650000,+6.250000093
-6.645000,+6.250000093
-6.640000,+6.250000093
-6.635000,+6.250000093
-6.630000,+13.787688455
-6.625000,+6.250000093
-6.620000,-1.790200826
-6.615000,-1.790200826
-6.610000,-1.790200826
-6.605000,-9.327889187
-6.600000,-9.327889187
-6.595000,-1.790200826
-6.590000,-1.790200826
-6.585000,+6.250000093
-6.580000,-1.790200826
-6.575000,+6.250000093
-6.570000,-1.287688268
-6.565000,+6.250000093
-6.560000,-1.287688268
-6.555000,-1.287688268
-6.550000,-17.870602664
-6.545000,-17.870602664
-6.540000,-25.910803583
-6.535000,-25.910803583
-6.530000,-25.910803583
-6.525000,-25.910803583
-6.520000,-33.951004501
-6.515000,-41.488692863
-6.510000,-33.951004501
-6.505000,-33.951004501
-6.500000,+13.787688455
-6.495000,+29.868090292
-6.490000,+22.330401931
-6.485000,+29.868090292
-6.480000,+30.370602850
-6.475000,+30.370602850
-6.470000,+30.370602850
-6.465000,+30.370602850
-6.460000,+37.908291211
-6.455000,+30.370602850
-6.450000,-49.528893782
-6.445000,-50.031406339
-6.440000,-57.569094701
-6.435000,-65.609295620
-6.430000,-65.609295620
-6.425000,-66.111808177
-6.420000,-58.071607258
-6.415000,-66.111808177
-6.410000,-74.152009096
-6.405000,-66.111808177
-6.400000,+37.908291211
-6.395000,+54.491205607
-6.390000,+54.491205607
-6.385000,+54.491205607
-6.380000,+62.531406526
-6.375000,+78.109295806
-6.370000,+62.531406526
-6.365000,+70.571607444
-6.360000,+70.571607444
-6.355000,+62.531406526
-6.350000,-57.569094701
-6.345000,-74.152009096
-6.340000,-82.192210015
-6.335000,-90.232410934
-6.330000,-98.272611853
-6.325000,-105.810300214
-6.320000,-105.810300214
-6.315000,-98.272611853
-6.310000,-98.272611853
-6.305000,-98.272611853
-6.300000,+70.069094887
-6.295000,+86.652009282
-6.290000,+78.611808363
-6.285000,+94.692210201
-6.280000,+94.692210201
-6.275000,+110.772612039
-6.270000,+102.229898563
-6.265000,+102.229898563
-6.260000,+102.732411120
-6.255000,+94.692210201
-6.250000,-81.689697457
-6.245000,-113.850501133
-6.240000,-113.850501133
-6.235000,-121.890702052
-6.230000,-137.971103890
-6.225000,-130.433415528
-6.220000,-130.433415528
-6.215000,-130.433415528
-6.210000,-138.473616447
-6.205000,-137.971103890
-6.200000,+70.069094887
-6.195000,+110.772612039
-6.190000,+102.732411120
-6.185000,+118.310300400
-6.180000,+134.390702238
-6.175000,+142.933415715
-6.170000,+126.853013877
-6.165000,+134.390702238
-6.160000,+134.893214796
-6.155000,+126.853013877
-6.150000,-97.770099295
-6.145000,-138.473616447
-6.140000,-146.513817366
-6.135000,-154.554018285
-6.130000,-162.594219204
-6.125000,-170.131907566
-6.120000,-170.131907566
-6.115000,-170.131907566
-6.110000,-162.594219204
-6.105000,-162.594219204
-6.100000,+94.189697644
-6.095000,+150.973616634
-6.090000,+134.893214796
-6.085000,+150.471104076
-6.080000,+167.054018471
-6.075000,+175.094219390
-6.070000,+167.054018471
-6.065000,+166.551505914
-6.060000,+174.591706833
-6.055000,+150.973616634
-6.050000,-97.770099295
-6.045000,-170.131907566
-6.040000,-178.172108484
-6.035000,-194.252510322
-6.030000,-194.755022880
-6.025000,-202.795223799
-6.020000,-194.755022880
-6.015000,-186.714821961
-6.010000,-194.755022880
-6.005000,-186.714821961
-6.000000,+102.229898563
-5.995000,+175.094219390
-5.990000,+159.013817552
-5.985000,+182.631907752
-5.980000,+191.174621228
-5.975000,+199.214822147
-5.970000,+191.174621228
-5.965000,+191.174621228
-5.960000,+191.174621228
-5.955000,+175.094219390
-5.950000,-113.850501133
-5.945000,-194.755022880
-5.940000,-202.795223799
-5.935000,-218.373113079
-5.930000,-218.875625636
-5.925000,-226.915826555
-5.920000,-218.875625636
-5.915000,-218.875625636
-5.910000,-218.875625636
-5.905000,-202.795223799
-5.900000,+118.310300400
-5.895000,+198.712309590
-5.890000,+183.134420309
-5.885000,+206.752510509
-5.880000,+230.873113265
-5.875000,+231.375625823
-5.870000,+222.832912346
-5.865000,+214.792711427
-5.860000,+222.832912346
-5.855000,+199.214822147
-5.850000,-121.890702052
-5.845000,-218.875625636
-5.840000,-226.413313998
-5.835000,-242.996228393
-5.830000,-251.036429312
-5.825000,-259.076630231
-5.820000,-242.996228393
-5.815000,-242.996228393
-5.810000,-234.956027474
-5.805000,-210.835424718
-5.800000,+126.350501319
-5.795000,+223.335424904
-5.790000,+207.255023066
-5.785000,+230.873113265
-5.780000,+255.496228579
-5.775000,+263.536429498
-5.770000,+239.415826742
-5.765000,+231.375625823
-5.760000,+223.335424904
-5.755000,+199.214822147
-5.750000,-137.971103890
-5.745000,-242.996228393
-5.740000,-251.036429312
-5.735000,-259.076630231
-5.730000,-274.654519511
-5.725000,-275.157032069
-5.720000,-266.614318592
-5.715000,-250.533916755
-5.710000,-242.996228393
-5.705000,-202.795223799
-5.700000,+142.430903157
-5.695000,+247.456027661
-5.690000,+239.415826742
-5.685000,+254.993716022
-5.680000,+271.576630417
-5.675000,+279.616831336
-5.670000,+255.496228579
-5.665000,+238.913314184
-5.660000,+223.335424904
-5.655000,+191.174621228
-5.650000,-137.971103890
-5.645000,-259.076630231
-5.640000,-267.116831150
-5.635000,-275.157032069
-5.630000,-282.694720430
-5.625000,-283.197232988
-5.620000,-267.116831150
-5.615000,-259.076630231
-5.610000,-242.996228393
-5.605000,-210.835424718
-5.600000,+142.430903157
-5.595000,+263.536429498
-5.590000,+247.456027661
-5.585000,+263.536429498
-5.580000,+271.576630417
-5.575000,+287.657032255
-5.570000,+263.033916941
-5.565000,+247.456027661
-5.560000,+231.375625823
-5.555000,+191.174621228
-5.550000,-154.051505728
-5.545000,-283.197232988
-5.540000,-291.237433907
-5.535000,-291.237433907
-5.530000,-283.197232988
-5.525000,-283.197232988
-5.520000,-275.157032069
-5.515000,-274.654519511
-5.510000,-251.036429312
-5.505000,-218.875625636
-5.500000,+158.511304995
-5.495000,+287.154519698
-5.490000,+263.536429498
-5.485000,+279.616831336
-5.480000,+271.576630417
-5.475000,+287.657032255
-5.470000,+271.074117860
-5.465000,+254.993716022
-5.460000,+231.375625823
-5.455000,+191.174621228
-5.450000,-162.091706647
-5.445000,-299.277634826
-5.440000,-307.317835744
-5.435000,-291.237433907
-5.430000,-275.157032069
-5.425000,-283.197232988
-5.420000,-290.734921349
-5.415000,-267.116831150
-5.410000,-266.614318592
-5.405000,-210.835424718
-5.400000,+158.511304995
-5.395000,+295.697233174
-5.390000,+279.616831336
-5.385000,+279.616831336
-5.380000,+271.074117860
-5.375000,+287.657032255
-5.370000,+271.576630417
-5.365000,+263.536429498
-5.360000,+231.375625823
-5.355000,+191.174621228
-5.350000,-170.131907566
-5.345000,-307.317835744
-5.340000,-323.398237582
-5.335000,-299.277634826
-5.330000,-275.157032069
-5.325000,-275.157032069
-5.320000,-290.734921349
-5.315000,-283.197232988
-5.310000,-259.076630231
-5.305000,-210.835424718
-5.300000,+174.591706833
-5.295000,+303.737434093
-5.290000,+295.697233174
-5.285000,+287.657032255
-5.280000,+263.536429498
-5.275000,+279.616831336
-5.270000,+279.616831336
-5.265000,+271.074117860
-5.260000,+239.415826742
-5.255000,+191.174621228
-5.250000,-170.131907566
-5.245000,-322.895725025
-5.240000,-330.935925944
-5.235000,-299.277634826
-5.230000,-275.157032069
-5.225000,-275.157032069
-5.220000,-298.775122268
-5.215000,-283.197232988
-5.210000,-267.116831150
-5.205000,-202.795223799
-5.200000,+166.551505914
-5.195000,+311.777635012
-5.190000,+303.737434093
-5.185000,+287.154519698
-5.180000,+263.536429498
-5.175000,+279.616831336
-5.170000,+279.616831336
-5.165000,+263.536429498
-5.160000,+239.415826742
-5.155000,+183.134420309
-5.150000,-178.172108484
-5.145000,-323.398237582
-5.140000,-331.438438501
-5.135000,-299.277634826
-5.130000,-267.116831150
-5.125000,-267.116831150
-5.120000,-298.775122268
-5.115000,-283.197232988
-5.110000,-267.116831150
-5.105000,-202.795223799
-5.100000,+174.591706833
-5.095000,+319.315323373
-5.090000,+311.777635012
-5.085000,+295.194720617
-5.080000,+255.496228579
-5.075000,+279.616831336
-5.070000,+279.616831336
-5.065000,+271.576630417
-5.060000,+246.953515103
-5.055000,+191.174621228
-5.050000,-178.172108484
-5.045000,-330.935925944
-5.040000,-339.478639420
-5.035000,-299.277634826
-5.030000,-267.116831150
-5.025000,-267.116831150
-5.020000,-299.277634826
-5.015000,-291.237433907
-5.010000,-275.157032069
-5.005000,-210.835424718
-5.000000,+166.551505914
-4.995000,+319.315323373
-4.990000,+303.737434093
-4.985000,+287.657032255
-4.980000,+255.496228579
-4.975000,+279.616831336
-4.970000,+279.616831336
-4.965000,+271.576630417
-4.960000,+247.456027661
-4.955000,+191.174621228
-4.950000,-170.131907566
-4.945000,-331.438438501
-4.940000,-331.438438501
-4.935000,-299.277634826
-4.930000,-267.116831150
-4.925000,-275.157032069
-4.920000,-298.775122268
-4.915000,-291.237433907
-4.910000,-275.157032069
-4.905000,-202.795223799
-4.900000,+174.591706833
-4.895000,+319.817835931
-4.890000,+303.737434093
-4.885000,+287.657032255
-4.880000,+255.496228579
-4.875000,+279.616831336
-4.870000,+279.616831336
-4.865000,+271.576630417
-4.860000,+239.415826742
-4.855000,+191.174621228
-4.850000,-170.131907566
-4.845000,-322.895725025
-4.840000,-339.478639420
-4.835000,-299.277634826
-4.830000,-274.654519511
-4.825000,-275.157032069
-4.820000,-298.775122268
-4.815000,-291.237433907
-4.810000,-267.116831150
-4.805000,-202.795223799
-4.800000,+158.511304995
-4.795000,+311.777635012
-4.790000,+303.737434093
-4.785000,+287.657032255
-4.780000,+263.033916941
-4.775000,+279.616831336
-4.770000,+279.114318779
-4.765000,+271.576630417
-4.760000,+239.415826742
-4.755000,+191.174621228
-4.750000,-170.131907566
-4.745000,-315.358036663
-4.740000,-323.398237582
-4.735000,-299.277634826
-4.730000,-274.654519511
-4.725000,-267.116831150
-4.720000,-290.734921349
-4.715000,-283.197232988
-4.710000,-267.116831150
-4.705000,-202.795223799
-4.700000,+166.551505914
-4.695000,+303.737434093
-4.690000,+287.657032255
-4.685000,+287.657032255
-4.680000,+247.456027661
-4.675000,+279.616831336
-4.670000,+271.576630417
-4.665000,+263.536429498
-4.660000,+239.415826742
-4.655000,+199.214822147
-4.650000,-162.091706647
-4.645000,-314.855524106
-4.640000,-315.358036663
-4.635000,-299.277634826
-4.630000,-275.157032069
-4.625000,-275.157032069
-4.620000,-291.237433907
-4.615000,-283.197232988
-4.610000,-259.076630231
-4.605000,-202.795223799
-4.600000,+150.471104076
-4.595000,+295.697233174
-4.590000,+287.657032255
-4.585000,+279.114318779
-4.580000,+271.074117860
-4.575000,+287.657032255
-4.570000,+271.576630417
-4.565000,+255.496228579
-4.560000,+239.415826742
-4.555000,+191.174621228
-4.550000,-154.051505728
-4.545000,-306.815323187
-4.540000,-307.317835744
-4.535000,-299.277634826
-4.530000,-275.157032069
-4.525000,-283.197232988
-4.520000,-282.694720430
-4.515000,-274.654519511
-4.510000,-259.076630231
-4.505000,-202.795223799
-4.500000,+150.471104076
-4.495000,+279.616831336
-4.490000,+271.576630417
-4.485000,+271.576630417
-4.480000,+263.536429498
-4.475000,+287.657032255
-4.470000,+263.536429498
-4.465000,+255.496228579
-4.460000,+223.335424904
-4.455000,+199.214822147
-4.450000,-137.971103890
-4.445000,-283.197232988
-4.440000,-291.237433907
-4.435000,-291.237433907
-4.430000,-275.157032069
-4.425000,-283.197232988
-4.420000,-267.116831150
-4.415000,-259.076630231
-4.410000,-251.036429312
-4.405000,-210.835424718
-4.400000,+134.390702238
-4.395000,+271.576630417
-4.390000,+255.496228579
-4.385000,+263.033916941
-4.380000,+263.536429498
-4.375000,+287.657032255
-4.370000,+255.496228579
-4.365000,+239.415826742
-4.360000,+223.335424904
-4.355000,+191.174621228
-4.350000,-129.930902971
-4.345000,-259.076630231
-4.340000,-275.157032069
-4.335000,-275.157032069
-4.330000,-283.197232988
-4.325000,-283.197232988
-4.320000,-267.116831150
-4.315000,-259.076630231
-4.310000,-242.996228393
-4.305000,-218.875625636
-4.300000,+126.350501319
-4.295000,+254.993716022
-4.290000,+231.375625823
-4.285000,+247.456027661
-4.280000,+263.536429498
-4.275000,+279.616831336
-4.270000,+255.496228579
-4.265000,+238.913314184
-4.260000,+223.335424904
-4.255000,+199.214822147
-4.250000,-113.850501133
-4.245000,-250.533916755
-4.240000,-251.036429312
-4.235000,-259.076630231
-4.230000,-266.614318592
-4.225000,-275.157032069
-4.220000,-259.076630231
-4.215000,-250.533916755
-4.210000,-242.996228393
-4.205000,-210.835424718
-4.200000,+110.270099482
-4.195000,+230.873113265
-4.190000,+207.255023066
-4.185000,+222.832912346
-4.180000,+254.993716022
-4.175000,+255.496228579
-4.170000,+238.913314184
-4.165000,+231.375625823
-4.160000,+215.295223985
-4.155000,+199.214822147
-4.150000,-105.810300214
-4.145000,-226.413313998
-4.140000,-226.915826555
-4.135000,-242.996228393
-4.130000,-251.036429312
-4.125000,-251.036429312
-4.120000,-242.996228393
-4.115000,-226.915826555
-4.110000,-234.956027474
-4.105000,-210.835424718
-4.100000,+94.189697644
-4.095000,+207.255023066
-4.090000,+183.134420309
-4.085000,+206.752510509
-4.080000,+230.873113265
-4.075000,+231.375625823
-4.070000,+207.255023066
-4.065000,+206.752510509
-4.060000,+207.255023066
-4.055000,+191.174621228
-4.050000,-89.729898376
-4.045000,-194.755022880
-4.040000,-202.292711241
-4.035000,-210.332912160
-4.030000,-226.413313998
-4.025000,-226.915826555
-4.020000,-210.835424718
-4.015000,-210.835424718
-4.010000,-202.795223799
-4.005000,-194.755022880
-4.000000,+86.149496725
-3.995000,+175.094219390
-3.990000,+159.013817552
-3.985000,+174.591706833
-3.980000,+191.174621228
-3.975000,+207.255023066
-3.970000,+182.631907752
-3.965000,+175.094219390
-3.960000,+183.134420309
-3.955000,+167.054018471
-3.950000,-81.689697457
-3.945000,-170.634420123
-3.940000,-170.634420123
-3.935000,-186.714821961
-3.930000,-186.714821961
-3.925000,-194.755022880
-3.920000,-186.212309403
-3.915000,-178.674621042
-3.910000,-178.674621042
-3.905000,-170.634420123
-3.900000,+78.109295806
-3.895000,+150.973616634
-3.890000,+142.933415715
-3.885000,+150.471104076
-3.880000,+159.013817552
-3.875000,+167.054018471
-3.870000,+150.973616634
-3.865000,+142.933415715
-3.860000,+150.973616634
-3.855000,+142.933415715
-3.850000,-65.609295620
-3.845000,-146.011304809
-3.840000,-138.473616447
-3.835000,-154.554018285
-3.830000,-162.594219204
-3.825000,-170.634420123
-3.820000,-154.051505728
-3.815000,-146.513817366
